times,n,Tpara,Tperp
1592429163.005379,1.3404716,362.3939,288.91434
1592434659.3835142,0.667829,485.68973,407.9742
1592431860.49377,1.5078678,482.38965,414.89392
1592428244.992297,0.8153082,739.1559,582.2591
1592433257.013603,1.040695,329.5829,460.10272
1592426981.974284,1.115837,451.94907,462.80615
1592428987.052871,1.1651405,450.37515,407.61554
1592433546.0677052,1.5351722,167.80417,172.66731
1592433374.9152782,1.267966,413.636,427.34082
1592432914.708746,1.3925977,254.24718,314.2221
1592432320.250308,1.2414404,157.52974,223.71577
1592428199.841654,0.8319519,814.5533,675.2931
1592427283.178592,1.2279152,476.9823,412.82556
1592433963.223638,4.2266846,100.10143,68.78025
1592431540.989221,1.2427225,354.59888,443.5899
1592425857.1082392,1.2696087,482.73624,449.17688
1592430382.972749,2.0114253,196.01239,179.08878
1592433317.764469,1.0120536,349.14444,361.1343
1592428994.5529852,1.1436726,432.69785,415.2735
1592427418.4805188,0.9092647,505.78152,454.61597
1592432243.5992131,4.8191867,90.21124,72.58036
1592426337.565092,1.1242943,398.22015,371.31754
1592431161.783832,1.3583589,332.09357,372.9409
1592434075.575228,0.99706405,440.4461,336.81137
1592431259.585226,4.2874303,105.56163,93.13787
1592426576.518504,0.8577319,530.71857,493.33835
1592427215.977622,0.826376,572.73706,449.9049
1592429772.164066,1.2852849,200.9299,173.63716
1592430250.520871,1.9037358,165.52448,201.0408
1592427738.285082,1.3241497,376.88818,406.34265
1592434320.078704,1.8705525,229.33308,235.66241
1592428381.9442492,1.100156,477.4115,401.98254
1592425809.407554,1.1085021,489.62094,424.33643
1592426198.513108,0.92163634,380.3588,395.11282
1592431523.288979,1.2704693,404.9314,403.7666
1592434259.777838,1.7742223,191.75882,176.83492
1592433223.413134,1.8196051,178.04044,225.60796
1592429671.812628,0.56551665,550.2064,689.7448
1592434175.326647,1.345099,393.44733,338.8906
1592432748.356388,4.5090513,63.177647,68.10484
1592433212.312978,1.9603025,180.67508,190.39326
1592432450.4521549,1.1426346,357.57614,367.13834
1592429739.613597,1.0048745,353.8667,289.711
1592434168.5765471,1.163484,419.76062,372.18243
1592429835.4649642,3.3956974,121.11659,82.59786
1592434119.075853,1.3818988,292.95276,321.29117
1592431084.382737,1.1100489,522.3038,478.12607
1592426146.312365,1.2225295,373.2747,442.40527
1592432888.158377,0.83459723,294.54675,332.89734
1592430759.928114,1.1555024,317.79987,346.55136
1592430637.226378,1.1595649,444.53854,456.60562
1592432331.2004638,1.2562371,165.45135,227.60959
1592430657.326663,1.2688503,404.3295,352.4545
1592428490.845803,0.6510784,916.09247,850.75934
1592430532.974884,1.7306427,239.8034,192.7352
1592427084.425754,1.7895995,239.61012,226.40717
1592433501.517081,5.251178,87.6269,71.70441
1592433453.066386,1.0787178,319.52963,318.14282
1592433109.111516,3.5947208,117.437485,86.04359
1592429616.161844,1.1898845,363.35263,419.98663
1592429514.610393,1.8932306,135.96944,163.45648
1592433963.373638,4.422493,107.67192,74.369194
1592426169.2626932,0.99480224,391.52658,399.11102
1592426239.613693,0.71045333,551.36206,471.73285
1592425981.6100092,1.1086401,459.8484,472.39844
1592432281.8497531,5.2765694,106.58003,72.996414
1592427175.777052,1.1912845,347.70508,294.97388
1592427896.537334,0.81444085,697.10205,619.25885
1592429313.45753,1.2077898,420.21878,354.1401
1592429421.609068,3.8461647,86.021904,76.47281
1592430910.530262,1.946691,126.230446,148.689
1592425885.158638,1.1183343,556.9629,520.90985
1592428357.043893,1.0738074,467.19913,380.7588
